id,input,target,response,score,input_tokens,output_tokens,duration_ms
1,"Noem: Guantánamo Bay on the table to house deportees
Homeland Security Secretary Kristi L. Noem sign...",Guantánamo Bay,Guantánamo Bay,1.0,511,6,1507
2,"Supreme Court delays decision on Trump’s firing of watchdog agency leader
A divided Supreme Court on...",Firing government watchdogs,Expanding executive power,0.0,425,5,1087
3,"Hegseth to visit Guantanamo Bay as migrant detention takes shape
Defense Secretary Pete Hegseth is e...",Guantánamo Bay,Guantánamo Bay,1.0,486,6,1941
4,"Musk throws cold water on funding for Trump AI initiative
Elon Musk, the Tesla CEO and top ally of P...",AI,AI,1.0,780,2,1478
5,"Trans health, research programs ordered to stop by Trump administration
The Trump administration is ...",Transgender policy,Transgender policy,1.0,430,4,812
6,"N.Y. Mayor Eric Adams pushes for permanent dismissal of his corruption case
NEW YORK — Mayor Eric Ad...",Eric Adams case,Eric Adams case,1.0,591,4,1006
7,"GOP lawmakers scramble to protect foreign aid as food relief languishes
As GOP lawmakers in Washingt...",USAID,Foreign aid,0.0,2074,3,1007
8,"DOGE rips through Education Department, cutting contracts, staff and grants
The notices popped into ...",Department of Education,Department of Education,1.0,2868,4,1148
9,"HHS in process of firing 5,200 workers, according to internal memo
In an extraordinary move, the Dep...",Federal workforce reductions,Federal workforce reductions,1.0,662,4,2330
10,"Trump plans to further restrict undocumented immigrants from public benefits
President Donald Trump ...",Immigration policy,Immigration policy,1.0,516,4,2209
11,"Trump administration seeking access to database of immigrant minors
The Trump administration is seek...",Immigration policy,U.S.-Mexico border,0.0,371,6,1101
12,"Judge denies temporary ban on DOGE access to private data
A federal judge on Friday denied a request...",DOGE,DOGE,1.0,1321,3,1079
13,President Donald Trump just signed executive orders declaring a “national energy emergency” and “unl...,Climate,Climate,1.0,346,2,1811
14,"Judge adds one-week pause on Trump plan to put 2,100 USAID workers on leave
A federal judge on Thurs...",USAID,USAID,1.0,2111,3,1356
15,"More than 40,000 workers said to accept deferred resignation offer
More than 40,000 people have acce...",Federal worker buyout,Federal worker buyout,1.0,478,5,1730
16,"Trump set to pull funding from schools based on race, gender teaching
The White House is preparing t...",DEI in schools,DEI in schools,1.0,667,5,1143
17,"Vaccine safety panel long criticized by RFK Jr. told to postpone meeting
The Trump administration ha...",Health care,Health care,1.0,478,3,983
18,"Judge says Trump officials have not complied with order to restart foreign aid
A federal judge in D....",Foreign aid,Foreign aid,1.0,535,3,1492
19,"Trump says he will fire Kennedy Center board members, appoint himself chairman
President Donald Trum...",Kennedy Center,Kennedy Center,1.0,411,4,849
20,"Arab leaders scramble for alternative to Trump’s Gaza proposal
President Donald Trump’s plan to remo...",Gaza,Foreign policy,0.0,2098,3,1863
21,"Trump shuts off access to asylum, plans to send 10,000 troops to border
President <a href=""https://w...",U.S.-Mexico border,U.S.-Mexico border,1.0,437,6,2651
22,"Trump appoints loyalists to Kennedy Center board
President Donald Trump was officially elected chair...",Kennedy Center,Kennedy Center,1.0,616,4,1113
23,President Donald Trump signed an executive order Monday creating the “Department of Government Effic...,DOGE,DOGE,1.0,375,3,1101
24,"HUD moves to cancel $1.1 billion in already-awarded housing upgrades
The Department of Housing and U...",Federal funding,Other,0.0,594,2,1358
25,"FAA targeting Verizon contract in favor of Musk’s Starlink, sources say
The Federal Aviation Adminis...",Other,DOGE,0.0,1752,3,2080
26,"Trump: Government will sell $5 million ‘gold card’ to wealthy immigrants
President Donald Trump said...",Immigration policy,Immigration policy,1.0,682,4,2076
27,"Trump says administration looking at sending criminals out of country
“Numerous countries” have offe...",Deportations,Immigration policy,0.0,476,4,920
28,"Pentagon says ‘identity months’  like Black History Month are ‘dead’
Shortly after President Donald ...",DEI in the federal government,DEI in the federal government,1.0,537,7,1033
29,"U.S., Ukraine near deal to grant mineral rights to Washington
The Trump administration and the Ukrai...",War in Ukraine,Foreign policy,0.0,376,3,1071
30,"Trump to build mass detention camp for deportees at Guantánamo Bay
President <a href=""https://www.wa...",Guantánamo Bay,Deportations,0.0,501,4,707
31,"Federal judge blocks Trump from slashing NIH funding in 22 states that sued
A federal district judge...",NIH,Health care,0.0,456,3,877
32,"New Kennedy Center board elects Trump as chair. Rutter departs as president.
The Kennedy Center boar...",Kennedy Center,Kennedy Center,1.0,551,4,1064
33,"In new order, Trump administration places more USAID staff on leave
The Trump administration put sco...",USAID,USAID,1.0,693,3,884
34,"Dept. of Homeland Security wants IRS to help with immigration enforcement
Homeland Security Secretar...",Immigration policy,Immigration policy,1.0,390,4,1320
35,"Trump administration orders Pentagon to plan for sweeping budget cuts
Defense Secretary Pete Hegseth...",Federal funding,Other,0.0,459,2,1028
36,"Trump threatens to cut U.S. aid to South Africa over land law
NAIROBI — President <a href=""https://w...",Foreign aid,Foreign aid,1.0,465,3,924
37,"Trump announces 25% tariffs on steel and aluminum, including for Canada and Mexico
President Donald ...",Tariffs,Tariffs,1.0,486,3,832
38,"Trump moves to narrow independence of Fed, along with other Wall Street overseers
The Trump administ...",Expanding executive power,Other,0.0,1809,2,1694
39,"Trump, Modi aim to cut U.S. trade gap with India amid global tariff concerns
The United States and I...",Tariffs,Foreign policy,0.0,2411,3,2240
40,"CFPB prepares to end lease on headquarters building, ahead of expected cuts
The Trump administration...",CFPB,CFPB,1.0,455,3,1315
41,"Justice Dept. hires for court battles as Trump slashes other agencies
The Justice Department is recr...",Other,Immigration policy,0.0,1623,4,1254
42,"Trump says he ordered Treasury Department to stop producing new pennies
President <a href=""https://w...",Other,Other,1.0,446,2,1358
43,"Federal agencies must revise telework policies by Friday, White House says
Heads of federal agencies...",Federal workers return to office,Federal workers return to office,1.0,481,6,1259
44,"Trump administration freezes funds to Palestinian security forces
JERICHO, West Bank — The Trump adm...",Foreign aid,Foreign aid,1.0,1163,3,834
45,"Trump, Maine Gov. Mills spar over executive order on transgender athletes
President Donald Trump and...",Transgender policy,Transgender policy,1.0,618,4,742
46,"Lawsuit filed over Trump’s order targeting transgender service members
President Donald Trump’s <a h...",Transgender policy,Transgender policy,1.0,698,4,971
47,"National Science Foundation halts reviews of research proposals
The National Science Foundation has ...",Health agencies' communications pause,DEI in the federal government,0.0,610,7,883
48,"Labor Department blocked from sharing data with DOGE, email says
The U.S. Labor Department has been ...",DOGE,DOGE,1.0,542,3,1097
49,"Vaccine meeting to prepare for coming winter’s flu season canceled
Trump officials have canceled a f...",Health care,Health care,1.0,1034,3,879
50,"Trump plans emerge to use U.S. military bases for immigrant detention
A Space Force military base in...",Immigration policy,U.S.-Mexico border,0.0,593,6,1745
51,"Some agency heads mandate that employees report efforts to ‘disguise’ DEI programs
President Donald ...",DEI in the federal government,DEI in the federal government,1.0,584,7,1768
52,"Trump signs executive order to create crypto council, reduce regulation
President Donald Trump on Th...",Crypto,Crypto,1.0,605,2,2077
53,"Trump proposes permanent displacement of Gazans as he welcomes Netanyahu to White House
President <a...",Gaza,Gaza,1.0,532,3,522
54,"Judge orders Trump administration to pay millions in USAID funds
A federal judge on Tuesday ordered ...",USAID,USAID,1.0,1409,3,788
55,"Trump says he wants to send ‘repeat offenders’ in U.S. legally to foreign countries
DORAL, Fla. — Pr...",Deportations,Immigration policy,0.0,481,4,1815
56,"Trump reinstates plan to strip protections from federal workers
President <a href=""https://www.washi...",Reclassifying federal jobs,Federal workforce reductions,0.0,436,4,783
57,"Federal board halts firings of six probationary employees amid Trump cuts
An independent federal boa...",Federal workforce reductions,Reclassifying federal jobs,0.0,1481,6,1756
58,President Donald Trump signed an executive order on Monday requiring the federal government to retur...,Climate,Other,0.0,379,2,1936
59,"Trump freezes hiring for many federal jobs
The White House issued a freeze on the hiring of civilian...",Federal workforce reductions,Federal workforce reductions,1.0,431,4,1088
60,"Acting ICE director removed amid White House pressure to boost arrests
The Trump administration has ...",Senior government officials ousted,U.S.-Mexico border,0.0,1853,6,4342
61,"Trump appoints leader of his Secret Service detail to head agency
President Donald Trump said Wednes...",Other,Other,1.0,678,2,984
62,"Judge allows intelligence agencies to fire officers in DEI roles
A federal judge on Thursday refused...",DEI in the federal government,DEI in the federal government,1.0,1499,7,1534
63,"Native leaders warn that freezing of federal funds could imperil some services
Native American leade...",Federal grant pause,Federal grant pause,1.0,642,4,1668
64,"Suit charges violation of Privacy Act as DOGE accesses personal data
A coalition of labor unions and...",DOGE,DOGE,1.0,526,3,1829
65,"Judge briefly extends order barring Trump from firing watchdog leader
A federal judge on Wednesday e...",Firing government watchdogs,Targeting political enemies,0.0,807,5,1044
66,"Layoffs to hit IRS as DOGE targets tax collections
The Trump administration is expected to begin lay...",DOGE,DOGE,1.0,1101,3,1400
67,"Education Dept. launches investigation into Maine over transgender policies
The Education Department...",Transgender policy,Transgender policy,1.0,665,4,761
68,"Judge forces lawyers for fired inspectors general to withdraw TRO request
Lawyers for eight inspecto...",Firing government watchdogs,Targeting political enemies,0.0,687,5,772
69,"White House, in reversal, rescinds freeze on federal grants
The White House budget office on Wednesd...",Federal grant pause,Federal grant pause,1.0,401,4,999
70,"EPA puts 168 environmental justice staffers on administrative leave
Trump appointees at the Environm...",DEI in the federal government,DEI in the federal government,1.0,557,7,1022
71,"Layoffs loom as Trump administration orders federal DEI workers on leave
President Donald Trump’s ad...",DEI in the federal government,DEI in the federal government,1.0,502,7,2421
72,"Pentagon to fire 5,400 civilian employees in ‘initial’ purge
The Pentagon said Friday that it will f...",Federal workforce reductions,Federal workforce reductions,1.0,2050,4,1754
73,"Judge temporarily blocks DOGE access to sensitive information at two agencies
A federal judge on Mon...",DOGE,DOGE,1.0,1084,3,1781
74,"Farmers sue USDA after agency deletes climate change data
A group of farmers and environmental nonpr...",Climate,Climate,1.0,1687,2,1562
