id,input,target,response,score,input_tokens,output_tokens,duration_ms
1,"Noem: Guantánamo Bay on the table to house deportees
Homeland Security Secretary Kristi L. Noem sign...",Guantánamo Bay,Guantánamo Bay,1.0,569,9,2152
2,"Supreme Court delays decision on Trump’s firing of watchdog agency leader
A divided Supreme Court on...",Firing government watchdogs,Firing government watchdogs,1.0,467,9,2599
3,"Hegseth to visit Guantanamo Bay as migrant detention takes shape
Defense Secretary Pete Hegseth is e...",Guantánamo Bay,Guantánamo Bay,1.0,531,9,1293
4,"Musk throws cold water on funding for Trump AI initiative
Elon Musk, the Tesla CEO and top ally of P...",AI,AI,1.0,880,4,1558
5,"Trans health, research programs ordered to stop by Trump administration
The Trump administration is ...",Transgender policy,Transgender policy,1.0,475,6,1399
6,"N.Y. Mayor Eric Adams pushes for permanent dismissal of his corruption case
NEW YORK — Mayor Eric Ad...",Eric Adams case,Eric Adams case,1.0,656,6,1819
7,"GOP lawmakers scramble to protect foreign aid as food relief languishes
As GOP lawmakers in Washingt...",USAID,Foreign aid,0.0,2301,5,1740
8,"DOGE rips through Education Department, cutting contracts, staff and grants
The notices popped into ...",Department of Education,DOGE,0.0,3130,6,2444
9,"HHS in process of firing 5,200 workers, according to internal memo
In an extraordinary move, the Dep...",Federal workforce reductions,Federal workforce reductions,1.0,729,7,1499
10,"Trump plans to further restrict undocumented immigrants from public benefits
President Donald Trump ...",Immigration policy,Immigration policy,1.0,581,5,1464
11,"Trump administration seeking access to database of immigrant minors
The Trump administration is seek...",Immigration policy,Immigration policy,1.0,410,5,1659
12,"Judge denies temporary ban on DOGE access to private data
A federal judge on Friday denied a request...",DOGE,DOGE,1.0,1460,6,1672
13,President Donald Trump just signed executive orders declaring a “national energy emergency” and “unl...,Climate,Other,0.0,378,4,1186
14,"Judge adds one-week pause on Trump plan to put 2,100 USAID workers on leave
A federal judge on Thurs...",USAID,USAID,1.0,2327,6,1933
15,"More than 40,000 workers said to accept deferred resignation offer
More than 40,000 people have acce...",Federal worker buyout,Federal workforce reductions,0.0,535,7,1536
16,"Trump set to pull funding from schools based on race, gender teaching
The White House is preparing t...",DEI in schools,DEI in schools,1.0,717,7,2595
17,"Vaccine safety panel long criticized by RFK Jr. told to postpone meeting
The Trump administration ha...",Health care,Health care,1.0,526,5,1443
18,"Judge says Trump officials have not complied with order to restart foreign aid
A federal judge in D....",Foreign aid,Foreign aid,1.0,589,5,2298
19,"Trump says he will fire Kennedy Center board members, appoint himself chairman
President Donald Trum...",Kennedy Center,Kennedy Center,1.0,450,5,1587
20,"Arab leaders scramble for alternative to Trump’s Gaza proposal
President Donald Trump’s plan to remo...",Gaza,Gaza,1.0,2299,4,1685
21,"Trump shuts off access to asylum, plans to send 10,000 troops to border
President <a href=""https://w...",U.S.-Mexico border,U.S.-Mexico border,1.0,481,9,1553
22,"Trump appoints loyalists to Kennedy Center board
President Donald Trump was officially elected chair...",Kennedy Center,Kennedy Center,1.0,671,5,1279
23,President Donald Trump signed an executive order Monday creating the “Department of Government Effic...,DOGE,DOGE,1.0,419,6,1645
24,"HUD moves to cancel $1.1 billion in already-awarded housing upgrades
The Department of Housing and U...",Federal funding,DOGE,0.0,655,6,2396
25,"FAA targeting Verizon contract in favor of Musk’s Starlink, sources say
The Federal Aviation Adminis...",Other,Federal office space,0.0,2000,6,1616
26,"Trump: Government will sell $5 million ‘gold card’ to wealthy immigrants
President Donald Trump said...",Immigration policy,Immigration policy,1.0,741,5,1787
27,"Trump says administration looking at sending criminals out of country
“Numerous countries” have offe...",Deportations,Other,0.0,528,4,1107
28,"Pentagon says ‘identity months’  like Black History Month are ‘dead’
Shortly after President Donald ...",DEI in the federal government,DEI in the federal government,1.0,585,9,1763
29,"U.S., Ukraine near deal to grant mineral rights to Washington
The Trump administration and the Ukrai...",War in Ukraine,War in Ukraine,1.0,413,6,1109
30,"Trump to build mass detention camp for deportees at Guantánamo Bay
President <a href=""https://www.wa...",Guantánamo Bay,Guantánamo Bay,1.0,553,9,1312
31,"Federal judge blocks Trump from slashing NIH funding in 22 states that sued
A federal district judge...",NIH,NIH,1.0,507,5,2065
32,"New Kennedy Center board elects Trump as chair. Rutter departs as president.
The Kennedy Center boar...",Kennedy Center,Kennedy Center,1.0,600,5,1492
33,"In new order, Trump administration places more USAID staff on leave
The Trump administration put sco...",USAID,USAID,1.0,774,6,2949
34,"Dept. of Homeland Security wants IRS to help with immigration enforcement
Homeland Security Secretar...",Immigration policy,Deportations,0.0,439,6,1329
35,"Trump administration orders Pentagon to plan for sweeping budget cuts
Defense Secretary Pete Hegseth...",Federal funding,Other,0.0,505,4,1109
36,"Trump threatens to cut U.S. aid to South Africa over land law
NAIROBI — President <a href=""https://w...",Foreign aid,Foreign aid,1.0,514,5,1448
37,"Trump announces 25% tariffs on steel and aluminum, including for Canada and Mexico
President Donald ...",Tariffs,Tariffs,1.0,538,6,1207
38,"Trump moves to narrow independence of Fed, along with other Wall Street overseers
The Trump administ...",Expanding executive power,Interest rates,0.0,1964,5,1494
39,"Trump, Modi aim to cut U.S. trade gap with India amid global tariff concerns
The United States and I...",Tariffs,Tariffs,1.0,2672,6,1457
40,"CFPB prepares to end lease on headquarters building, ahead of expected cuts
The Trump administration...",CFPB,CFPB,1.0,511,7,1423
41,"Justice Dept. hires for court battles as Trump slashes other agencies
The Justice Department is recr...",Other,Immigration policy,0.0,1741,5,1711
42,"Trump says he ordered Treasury Department to stop producing new pennies
President <a href=""https://w...",Other,Other,1.0,501,4,1650
43,"Federal agencies must revise telework policies by Friday, White House says
Heads of federal agencies...",Federal workers return to office,Federal workers return to office,1.0,535,8,1693
