provider_id,prompt_id,test,prompt,result,error,duration_ms,passed,expected,timestamp,solver
gemini-2.5-flash,prompt-1,test-1,"[ChatMessageUser(id='WrsRQL2L6d7GqjCX8xpro6', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Here's the translation of the text in the image:

---

**Original Romanian Text:**

**Top Header:**
AGENȚIA DE STAT RELAȚII FUNCIARĂ ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Sufragerie
*   veranda
*   bucatarie
*   Locativa (repeated)
*   Subsol
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   Pentru Primarie
*   Conform Deciziei nr. 100 din 01.06.1989 an este permis constructie balconului.
*   In realitate este construita anexa A?
*   (n 26c - sufragerie - 6.5 m.p.
*   n 26b - veranda - 13.6 m.p.
*   n 26c - subsol - 15.1 m.p.)

**Bottom Section:**
*   Intreprinderea de Stat
*   ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
*   Planul constructiei pe
*   Numarul de inventariere
*   Sectorul
*   carnierul
*   lotul
*   Data
*   Semnatura (Agachi)
*   Bo 854 97
*   10 06 2004

---

**English Translation:**

**Top Header:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRE OFFICE CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Living room / Dining room
*   Veranda
*   Kitchen
*   Habitable room / Room (repeated)
*   Basement
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   For the City Hall / For the Mayor's Office
*   According to Decision no. 100 from 01.06.1989, the construction of the balcony is permitted.
*   In reality, is annex A built?
*   (No. 26c - living room - 6.5 sq. m.
*   No. 26b - veranda - 13.6 sq. m.
*   No. 26c - basement - 15.1 sq. m.)

**Bottom Section:**
*   State Enterprise
*   TERRITORIAL CADASTRE BODY CHIȘINĂU
*   Construction plan for
*   Inventory number
*   Sector
*   Register / Volume
*   Lot
*   Date
*   Signature (Agachi)
*   Bo 854 97
*   10 06 2004",,80.0,True,STATE AGENCY FOR LAND RELATIONS,2025-12-02T11:00:28-06:00,
gemini-2.5-flash,prompt-1,test-2,"[ChatMessageUser(id='WrsRQL2L6d7GqjCX8xpro6', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Here's the translation of the text in the image:

---

**Original Romanian Text:**

**Top Header:**
AGENȚIA DE STAT RELAȚII FUNCIARĂ ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Sufragerie
*   veranda
*   bucatarie
*   Locativa (repeated)
*   Subsol
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   Pentru Primarie
*   Conform Deciziei nr. 100 din 01.06.1989 an este permis constructie balconului.
*   In realitate este construita anexa A?
*   (n 26c - sufragerie - 6.5 m.p.
*   n 26b - veranda - 13.6 m.p.
*   n 26c - subsol - 15.1 m.p.)

**Bottom Section:**
*   Intreprinderea de Stat
*   ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
*   Planul constructiei pe
*   Numarul de inventariere
*   Sectorul
*   carnierul
*   lotul
*   Data
*   Semnatura (Agachi)
*   Bo 854 97
*   10 06 2004

---

**English Translation:**

**Top Header:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRE OFFICE CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Living room / Dining room
*   Veranda
*   Kitchen
*   Habitable room / Room (repeated)
*   Basement
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   For the City Hall / For the Mayor's Office
*   According to Decision no. 100 from 01.06.1989, the construction of the balcony is permitted.
*   In reality, is annex A built?
*   (No. 26c - living room - 6.5 sq. m.
*   No. 26b - veranda - 13.6 sq. m.
*   No. 26c - basement - 15.1 sq. m.)

**Bottom Section:**
*   State Enterprise
*   TERRITORIAL CADASTRE BODY CHIȘINĂU
*   Construction plan for
*   Inventory number
*   Sector
*   Register / Volume
*   Lot
*   Date
*   Signature (Agachi)
*   Bo 854 97
*   10 06 2004",,78.0,False,Locativă,2025-12-02T11:00:28-06:00,
gemini-2.5-flash,prompt-1,test-3,"[ChatMessageUser(id='WrsRQL2L6d7GqjCX8xpro6', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Here's the translation of the text in the image:

---

**Original Romanian Text:**

**Top Header:**
AGENȚIA DE STAT RELAȚII FUNCIARĂ ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Sufragerie
*   veranda
*   bucatarie
*   Locativa (repeated)
*   Subsol
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   Pentru Primarie
*   Conform Deciziei nr. 100 din 01.06.1989 an este permis constructie balconului.
*   In realitate este construita anexa A?
*   (n 26c - sufragerie - 6.5 m.p.
*   n 26b - veranda - 13.6 m.p.
*   n 26c - subsol - 15.1 m.p.)

**Bottom Section:**
*   Intreprinderea de Stat
*   ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
*   Planul constructiei pe
*   Numarul de inventariere
*   Sectorul
*   carnierul
*   lotul
*   Data
*   Semnatura (Agachi)
*   Bo 854 97
*   10 06 2004

---

**English Translation:**

**Top Header:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRE OFFICE CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Living room / Dining room
*   Veranda
*   Kitchen
*   Habitable room / Room (repeated)
*   Basement
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   For the City Hall / For the Mayor's Office
*   According to Decision no. 100 from 01.06.1989, the construction of the balcony is permitted.
*   In reality, is annex A built?
*   (No. 26c - living room - 6.5 sq. m.
*   No. 26b - veranda - 13.6 sq. m.
*   No. 26c - basement - 15.1 sq. m.)

**Bottom Section:**
*   State Enterprise
*   TERRITORIAL CADASTRE BODY CHIȘINĂU
*   Construction plan for
*   Inventory number
*   Sector
*   Register / Volume
*   Lot
*   Date
*   Signature (Agachi)
*   Bo 854 97
*   10 06 2004",,75.0,True,Chișinău,2025-12-02T11:00:28-06:00,
gemini-2.5-flash,prompt-1,test-4,"[ChatMessageUser(id='WrsRQL2L6d7GqjCX8xpro6', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Here's the translation of the text in the image:

---

**Original Romanian Text:**

**Top Header:**
AGENȚIA DE STAT RELAȚII FUNCIARĂ ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Sufragerie
*   veranda
*   bucatarie
*   Locativa (repeated)
*   Subsol
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   Pentru Primarie
*   Conform Deciziei nr. 100 din 01.06.1989 an este permis constructie balconului.
*   In realitate este construita anexa A?
*   (n 26c - sufragerie - 6.5 m.p.
*   n 26b - veranda - 13.6 m.p.
*   n 26c - subsol - 15.1 m.p.)

**Bottom Section:**
*   Intreprinderea de Stat
*   ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
*   Planul constructiei pe
*   Numarul de inventariere
*   Sectorul
*   carnierul
*   lotul
*   Data
*   Semnatura (Agachi)
*   Bo 854 97
*   10 06 2004

---

**English Translation:**

**Top Header:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRE OFFICE CHIȘINĂU

**Floor Plan Labels (selected, as many are dimensions/areas):**
*   Living room / Dining room
*   Veranda
*   Kitchen
*   Habitable room / Room (repeated)
*   Basement
*   H-2.20 (height)
*   H-2.6 (height)

**Handwritten Notes (right side):**
*   For the City Hall / For the Mayor's Office
*   According to Decision no. 100 from 01.06.1989, the construction of the balcony is permitted.
*   In reality, is annex A built?
*   (No. 26c - living room - 6.5 sq. m.
*   No. 26b - veranda - 13.6 sq. m.
*   No. 26c - basement - 15.1 sq. m.)

**Bottom Section:**
*   State Enterprise
*   TERRITORIAL CADASTRE BODY CHIȘINĂU
*   Construction plan for
*   Inventory number
*   Sector
*   Register / Volume
*   Lot
*   Date
*   Signature (Agachi)
*   Bo 854 97
*   10 06 2004",,72.0,False,Pentru Primărie,2025-12-02T11:00:28-06:00,
gemini-3-pro-preview,prompt-1,test-1,"[ChatMessageUser(id='LsVMVHMJEFQz8JiUZZjgYZ', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Based on the image provided, here is the translation of the document. It is a cadastral (land registry) plan from Moldova, specifically for a property in Chișinău.

### **Header**

**Original (Romanian):**
AGENȚIA DE STAT RELAȚII FUNCIARE ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**English Translation:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRAL OFFICE CHIȘINĂU

---

### **Handwritten Note (Right Side)**

This section explains a discrepancy between what was permitted and what was built.

**Original (Romanian):**
Pentru Primărie
Conform Deciziei nr 100 din 01.06.1989 an este permis construcția balconului.
În realitate este construită Anexa $A^2$
(nr $26^a$ – sufragerie – 6.5 m.p
nr $26^b$ – verandă – 13.6 m.p
nr $26^c$ – subsol – 15.1 m.p.)

**English Translation:**
For City Hall
According to Decision no. 100 of June 1, 1989, the construction of a balcony is permitted.
In reality, Annex $A^2$ is built
(No. $26^a$ – dining room – 6.5 sq.m
No. $26^b$ – veranda – 13.6 sq.m
No. $26^c$ – basement – 15.1 sq.m.)

---

### **Floor Plan Labels**

These are the labels found inside the rooms on the drawing.

*   **Subsol ($H-2.20$):** Basement (Height 2.20m)
*   **Sufragerie ($26^a$):** Dining Room / Living Area
*   **Verandă ($26^b$):** Veranda / Enclosed Porch
*   **Bucătărie ($26$):** Kitchen
*   **Locative ($27, 28, 29$):** Living Space / Residential Room (Bedrooms or Living rooms)
*   **Numbers (e.g., 2.40, 5.60):** These represent the dimensions of the walls in meters.
*   **Numbers (e.g., 15.1, 13.6):** These represent the area in square meters.

---

### **Footer (Bottom Right Table)**

**Original (Romanian):**
Întreprinderea de Stat
ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
Planul construcției pe...
Numărul de inventariere | Sectorul | Cartierul
Bo | 854 | 97
10 | 06 | 2004
Întocmit: Agachi (semnătura)

**English Translation:**
State Enterprise
TERRITORIAL CADASTRAL BODY CHIȘINĂU
Construction plan on... [date/location]
Inventory Number | Sector | Quarter
Bo [Likely Botanica sector] | 854 | 97
Date: October 6, 2004
Compiled by: Agachi (signature)",,68.0,True,STATE AGENCY FOR LAND RELATIONS,2025-12-02T11:00:50-06:00,
gemini-3-pro-preview,prompt-1,test-2,"[ChatMessageUser(id='LsVMVHMJEFQz8JiUZZjgYZ', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Based on the image provided, here is the translation of the document. It is a cadastral (land registry) plan from Moldova, specifically for a property in Chișinău.

### **Header**

**Original (Romanian):**
AGENȚIA DE STAT RELAȚII FUNCIARE ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**English Translation:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRAL OFFICE CHIȘINĂU

---

### **Handwritten Note (Right Side)**

This section explains a discrepancy between what was permitted and what was built.

**Original (Romanian):**
Pentru Primărie
Conform Deciziei nr 100 din 01.06.1989 an este permis construcția balconului.
În realitate este construită Anexa $A^2$
(nr $26^a$ – sufragerie – 6.5 m.p
nr $26^b$ – verandă – 13.6 m.p
nr $26^c$ – subsol – 15.1 m.p.)

**English Translation:**
For City Hall
According to Decision no. 100 of June 1, 1989, the construction of a balcony is permitted.
In reality, Annex $A^2$ is built
(No. $26^a$ – dining room – 6.5 sq.m
No. $26^b$ – veranda – 13.6 sq.m
No. $26^c$ – basement – 15.1 sq.m.)

---

### **Floor Plan Labels**

These are the labels found inside the rooms on the drawing.

*   **Subsol ($H-2.20$):** Basement (Height 2.20m)
*   **Sufragerie ($26^a$):** Dining Room / Living Area
*   **Verandă ($26^b$):** Veranda / Enclosed Porch
*   **Bucătărie ($26$):** Kitchen
*   **Locative ($27, 28, 29$):** Living Space / Residential Room (Bedrooms or Living rooms)
*   **Numbers (e.g., 2.40, 5.60):** These represent the dimensions of the walls in meters.
*   **Numbers (e.g., 15.1, 13.6):** These represent the area in square meters.

---

### **Footer (Bottom Right Table)**

**Original (Romanian):**
Întreprinderea de Stat
ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
Planul construcției pe...
Numărul de inventariere | Sectorul | Cartierul
Bo | 854 | 97
10 | 06 | 2004
Întocmit: Agachi (semnătura)

**English Translation:**
State Enterprise
TERRITORIAL CADASTRAL BODY CHIȘINĂU
Construction plan on... [date/location]
Inventory Number | Sector | Quarter
Bo [Likely Botanica sector] | 854 | 97
Date: October 6, 2004
Compiled by: Agachi (signature)",,67.0,False,Locativă,2025-12-02T11:00:50-06:00,
gemini-3-pro-preview,prompt-1,test-3,"[ChatMessageUser(id='LsVMVHMJEFQz8JiUZZjgYZ', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Based on the image provided, here is the translation of the document. It is a cadastral (land registry) plan from Moldova, specifically for a property in Chișinău.

### **Header**

**Original (Romanian):**
AGENȚIA DE STAT RELAȚII FUNCIARE ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**English Translation:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRAL OFFICE CHIȘINĂU

---

### **Handwritten Note (Right Side)**

This section explains a discrepancy between what was permitted and what was built.

**Original (Romanian):**
Pentru Primărie
Conform Deciziei nr 100 din 01.06.1989 an este permis construcția balconului.
În realitate este construită Anexa $A^2$
(nr $26^a$ – sufragerie – 6.5 m.p
nr $26^b$ – verandă – 13.6 m.p
nr $26^c$ – subsol – 15.1 m.p.)

**English Translation:**
For City Hall
According to Decision no. 100 of June 1, 1989, the construction of a balcony is permitted.
In reality, Annex $A^2$ is built
(No. $26^a$ – dining room – 6.5 sq.m
No. $26^b$ – veranda – 13.6 sq.m
No. $26^c$ – basement – 15.1 sq.m.)

---

### **Floor Plan Labels**

These are the labels found inside the rooms on the drawing.

*   **Subsol ($H-2.20$):** Basement (Height 2.20m)
*   **Sufragerie ($26^a$):** Dining Room / Living Area
*   **Verandă ($26^b$):** Veranda / Enclosed Porch
*   **Bucătărie ($26$):** Kitchen
*   **Locative ($27, 28, 29$):** Living Space / Residential Room (Bedrooms or Living rooms)
*   **Numbers (e.g., 2.40, 5.60):** These represent the dimensions of the walls in meters.
*   **Numbers (e.g., 15.1, 13.6):** These represent the area in square meters.

---

### **Footer (Bottom Right Table)**

**Original (Romanian):**
Întreprinderea de Stat
ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
Planul construcției pe...
Numărul de inventariere | Sectorul | Cartierul
Bo | 854 | 97
10 | 06 | 2004
Întocmit: Agachi (semnătura)

**English Translation:**
State Enterprise
TERRITORIAL CADASTRAL BODY CHIȘINĂU
Construction plan on... [date/location]
Inventory Number | Sector | Quarter
Bo [Likely Botanica sector] | 854 | 97
Date: October 6, 2004
Compiled by: Agachi (signature)",,65.0,True,Chișinău,2025-12-02T11:00:50-06:00,
gemini-3-pro-preview,prompt-1,test-4,"[ChatMessageUser(id='LsVMVHMJEFQz8JiUZZjgYZ', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","Based on the image provided, here is the translation of the document. It is a cadastral (land registry) plan from Moldova, specifically for a property in Chișinău.

### **Header**

**Original (Romanian):**
AGENȚIA DE STAT RELAȚII FUNCIARE ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU

**English Translation:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRAL OFFICE CHIȘINĂU

---

### **Handwritten Note (Right Side)**

This section explains a discrepancy between what was permitted and what was built.

**Original (Romanian):**
Pentru Primărie
Conform Deciziei nr 100 din 01.06.1989 an este permis construcția balconului.
În realitate este construită Anexa $A^2$
(nr $26^a$ – sufragerie – 6.5 m.p
nr $26^b$ – verandă – 13.6 m.p
nr $26^c$ – subsol – 15.1 m.p.)

**English Translation:**
For City Hall
According to Decision no. 100 of June 1, 1989, the construction of a balcony is permitted.
In reality, Annex $A^2$ is built
(No. $26^a$ – dining room – 6.5 sq.m
No. $26^b$ – veranda – 13.6 sq.m
No. $26^c$ – basement – 15.1 sq.m.)

---

### **Floor Plan Labels**

These are the labels found inside the rooms on the drawing.

*   **Subsol ($H-2.20$):** Basement (Height 2.20m)
*   **Sufragerie ($26^a$):** Dining Room / Living Area
*   **Verandă ($26^b$):** Veranda / Enclosed Porch
*   **Bucătărie ($26$):** Kitchen
*   **Locative ($27, 28, 29$):** Living Space / Residential Room (Bedrooms or Living rooms)
*   **Numbers (e.g., 2.40, 5.60):** These represent the dimensions of the walls in meters.
*   **Numbers (e.g., 15.1, 13.6):** These represent the area in square meters.

---

### **Footer (Bottom Right Table)**

**Original (Romanian):**
Întreprinderea de Stat
ORGANUL CADASTRAL TERITORIAL CHIȘINĂU
Planul construcției pe...
Numărul de inventariere | Sectorul | Cartierul
Bo | 854 | 97
10 | 06 | 2004
Întocmit: Agachi (semnătura)

**English Translation:**
State Enterprise
TERRITORIAL CADASTRAL BODY CHIȘINĂU
Construction plan on... [date/location]
Inventory Number | Sector | Quarter
Bo [Likely Botanica sector] | 854 | 97
Date: October 6, 2004
Compiled by: Agachi (signature)",,63.0,True,Pentru Primărie,2025-12-02T11:00:50-06:00,
claude-haiku-4-5,prompt-1,test-1,"[ChatMessageUser(id='WWXkevJK8o5jCdLBvRQXPz', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","# Translation of Cadastral Document

## Header (Original Romanian):
**AGENȚIA DE STAT RELAȚII FUNCIARARE ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU**

**English Translation:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRAL OFFICE CHIȘINĂU

---

## Handwritten Notes (Original Romanian):
**Conform Deciziei nr.100 din 04.06.1993 on este permis construcție de locuri lui. Teren neocupat este conform Instr. (22.26 - teren - 6.5m.p, n°26 - veranda - 18.6m.0, n°26 - duiol - 15.1m.p.)**

**English Translation:**
According to Decision No. 100 from 04.06.1993, construction of premises is permitted on this land. Unoccupied land is in accordance with Instructions. (22.26 - land - 6.5 m², No. 26 - veranda - 18.6 m², No. 26 - toilet - 15.1 m²)

---

## Bottom Section (Original Romanian):
**Planul construcției pe**
**Numărul de înregistrare**

**English Translation:**
Construction plan for
Registration number

---

The document is an official cadastral (land registry) plan from Moldova's State Agency for Land Relations and Cadastre, dated 2004.",,13139.0,True,STATE AGENCY FOR LAND RELATIONS,2025-12-02T11:04:08-06:00,
claude-haiku-4-5,prompt-1,test-2,"[ChatMessageUser(id='WWXkevJK8o5jCdLBvRQXPz', content=[ContentText(internal=None, type='text', text='(Image)', refusal=None, citations=None), ContentText(internal=None, type='text', text='Translate this. Include both original language and English.', refusal=None, citations=None)], source=None, metadata=None, role='user', tool_call_id=None)]","# Translation of Cadastral Document

## Header (Original Romanian):
**AGENȚIA DE STAT RELAȚII FUNCIARARE ȘI CADASTRU A REPUBLICII MOLDOVA
OFICIUL CADASTRAL TERITORIAL CHIȘINĂU**

**English Translation:**
STATE AGENCY FOR LAND RELATIONS AND CADASTRE OF THE REPUBLIC OF MOLDOVA
TERRITORIAL CADASTRAL OFFICE CHIȘINĂU

---

## Handwritten Notes (Original Romanian):
**Conform Deciziei nr.100 din 04.06.1993 on este permis construcție de locuri lui. Teren neocupat este conform Instr. (22.26 - teren - 6.5m.p, n°26 - veranda - 18.6m.0, n°26 - duiol - 15.1m.p.)**

**English Translation:**
According to Decision No. 100 from 04.06.1993, construction of premises is permitted on this land. Unoccupied land is in accordance with Instructions. (22.26 - land - 6.5 m², No. 26 - veranda - 18.6 m², No. 26 - toilet - 15.1 m²)

---

## Bottom Section (Original Romanian):
**Planul construcției pe**
**Numărul de înregistrare**

**English Translation:**
Construction plan for
Registration number

---

The document is an official cadastral (land registry) plan from Moldova's State Agency for Land Relations and Cadastre, dated 2004.",,7326.0,False,Locativă,2025-12-02T11:04:08-06:00,
