id,input,target,response,score,input_tokens,output_tokens,duration_ms
1,"Noem: Guantánamo Bay on the table to house deportees
Homeland Security Secretary Kristi L. Noem sign...",Guantánamo Bay,Deportations,0.0,507,0,1301
2,"Supreme Court delays decision on Trump’s firing of watchdog agency leader
A divided Supreme Court on...",Firing government watchdogs,Firing government watchdogs,1.0,423,0,712
3,"Hegseth to visit Guantanamo Bay as migrant detention takes shape
Defense Secretary Pete Hegseth is e...",Guantánamo Bay,Guantánamo Bay,1.0,474,0,1396
4,"Musk throws cold water on funding for Trump AI initiative
Elon Musk, the Tesla CEO and top ally of P...",AI,AI,1.0,827,0,791
5,"Trans health, research programs ordered to stop by Trump administration
The Trump administration is ...",Transgender policy,Transgender policy,1.0,426,0,901
6,"N.Y. Mayor Eric Adams pushes for permanent dismissal of his corruption case
NEW YORK — Mayor Eric Ad...",Eric Adams case,Eric Adams case,1.0,595,0,871
7,"GOP lawmakers scramble to protect foreign aid as food relief languishes
As GOP lawmakers in Washingt...",USAID,Foreign aid,0.0,2086,0,957
8,"DOGE rips through Education Department, cutting contracts, staff and grants
The notices popped into ...",Department of Education,Department of Education,1.0,2954,0,1056
9,"HHS in process of firing 5,200 workers, according to internal memo
In an extraordinary move, the Dep...",Federal workforce reductions,Federal workforce reductions,1.0,665,0,731
10,"Trump plans to further restrict undocumented immigrants from public benefits
President Donald Trump ...",Immigration policy,Immigration policy,1.0,522,0,953
11,"Trump administration seeking access to database of immigrant minors
The Trump administration is seek...",Immigration policy,Immigration policy,1.0,366,0,1488
12,"Judge denies temporary ban on DOGE access to private data
A federal judge on Friday denied a request...",DOGE,DOGE,1.0,1345,0,1498
13,President Donald Trump just signed executive orders declaring a “national energy emergency” and “unl...,Climate,Climate,1.0,336,0,1104
14,"Judge adds one-week pause on Trump plan to put 2,100 USAID workers on leave
A federal judge on Thurs...",USAID,USAID,1.0,2139,0,2622
15,"More than 40,000 workers said to accept deferred resignation offer
More than 40,000 people have acce...",Federal worker buyout,Federal workforce reductions,0.0,486,0,945
16,"Trump set to pull funding from schools based on race, gender teaching
The White House is preparing t...",DEI in schools,DEI in schools,1.0,662,0,1225
71,"Layoffs loom as Trump administration orders federal DEI workers on leave
President Donald Trump’s ad...",DEI in the federal government,DEI in the federal government,1.0,504,0,1286
73,"Judge temporarily blocks DOGE access to sensitive information at two agencies
A federal judge on Mon...",DOGE,DOGE,1.0,1111,0,1186
74,"Farmers sue USDA after agency deletes climate change data
A group of farmers and environmental nonpr...",Climate,Climate,1.0,1769,0,830
75,"Acting IRS commissioner to step down amid DOGE blitz on agency
The acting commissioner of the IRS wi...",DOGE,DOGE,1.0,919,0,1136
