provider_id,prompt_id,total_tests,assertions,passed,failed,no_assertions,pass_rate,errors,avg_duration_ms,min_duration_ms,max_duration_ms
claude-haiku-4-5,prompt-1,4,4,2,2,0,50.0,0,,,
claude-opus-4-5,prompt-1,4,4,4,0,0,100.0,0,,,
claude-sonnet-4-5,prompt-1,4,4,1,3,0,25.0,0,,,
gemini-2.5-flash,prompt-1,4,4,2,2,0,50.0,0,,,
gemini-3-pro-preview,prompt-1,4,4,3,1,0,75.0,0,,,
gpt-5.1,prompt-1,4,4,2,2,0,50.0,0,,,
grok-4,prompt-1,4,4,1,3,0,25.0,0,,,
grok-4.1-fast,prompt-1,4,4,1,3,0,25.0,0,,,
mistral-large-2512,prompt-1,4,4,2,2,0,50.0,0,,,
qwen3-vl-235b-a22b-thinking,prompt-1,4,4,2,2,0,50.0,0,,,
qwen3-vl-8b-thinking,prompt-1,4,4,2,2,0,50.0,0,,,
