id,input,target,response,score,input_tokens,output_tokens,duration_ms
1,"Noem: Guantánamo Bay on the table to house deportees
Homeland Security Secretary Kristi L. Noem sign...",Guantánamo Bay,Deportations,0.0,,,2260
2,"Supreme Court delays decision on Trump’s firing of watchdog agency leader
A divided Supreme Court on...",Firing government watchdogs,Firing government watchdogs,1.0,,,1643
3,"Hegseth to visit Guantanamo Bay as migrant detention takes shape
Defense Secretary Pete Hegseth is e...",Guantánamo Bay,Guantánamo Bay,1.0,,,1910
4,"Musk throws cold water on funding for Trump AI initiative
Elon Musk, the Tesla CEO and top ally of P...",AI,AI,1.0,,,2324
5,"Trans health, research programs ordered to stop by Trump administration
The Trump administration is ...",Transgender policy,Transgender policy,1.0,,,1489
6,"N.Y. Mayor Eric Adams pushes for permanent dismissal of his corruption case
NEW YORK — Mayor Eric Ad...",Eric Adams case,Eric Adams case,1.0,,,2313
9,"HHS in process of firing 5,200 workers, according to internal memo
In an extraordinary move, the Dep...",Federal workforce reductions,Federal workforce reductions,1.0,,,2984
10,"Trump plans to further restrict undocumented immigrants from public benefits
President Donald Trump ...",Immigration policy,Immigration policy,1.0,,,3037
11,"Trump administration seeking access to database of immigrant minors
The Trump administration is seek...",Immigration policy,Immigration policy,1.0,,,1350
12,"Judge denies temporary ban on DOGE access to private data
A federal judge on Friday denied a request...",DOGE,Other,0.0,,,3820
13,President Donald Trump just signed executive orders declaring a “national energy emergency” and “unl...,Climate,Climate,1.0,,,948
15,"More than 40,000 workers said to accept deferred resignation offer
More than 40,000 people have acce...",Federal worker buyout,Federal worker buyout,1.0,,,2379
16,"Trump set to pull funding from schools based on race, gender teaching
The White House is preparing t...",DEI in schools,DEI in schools,1.0,,,2630
17,"Vaccine safety panel long criticized by RFK Jr. told to postpone meeting
The Trump administration ha...",Health care,Health agencies' communications pause,0.0,,,1893
18,"Judge says Trump officials have not complied with order to restart foreign aid
A federal judge in D....",Foreign aid,Foreign aid,1.0,,,3443
19,"Trump says he will fire Kennedy Center board members, appoint himself chairman
President Donald Trum...",Kennedy Center,Kennedy Center,1.0,,,1250
21,"Trump shuts off access to asylum, plans to send 10,000 troops to border
President <a href=""https://w...",U.S.-Mexico border,U.S.-Mexico border,1.0,,,2943
22,"Trump appoints loyalists to Kennedy Center board
President Donald Trump was officially elected chair...",Kennedy Center,Kennedy Center,1.0,,,2108
