provider_id,prompt_id,test,prompt,result,error,duration_ms,passed,expected,timestamp
claude-opus-4-0,prompt-1,test-1,"Noem: Guantánamo Bay on the table to house deportees
Homeland Security Secretary Kristi L. Noem signaled Wednesday morning that the Trump administration is considering using the Guantánamo Bay detenti",Guantánamo Bay,,,True,Guantánamo Bay,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-2,"Supreme Court delays decision on Trump’s firing of watchdog agency leader
A divided Supreme Court on Friday <a href=""https://www.supremecourt.gov/opinions/24pdf/24a790_6i79.pdf"" target=_blank>put off ",Firing government watchdogs,,,True,Firing government watchdogs,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-3,"Hegseth to visit Guantanamo Bay as migrant detention takes shape
Defense Secretary Pete Hegseth is expected to visit the naval base at Guantánamo Bay as soon as Wednesday as the Trump administration’s",Guantánamo Bay,,,True,Guantánamo Bay,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-4,"Musk throws cold water on funding for Trump AI initiative
Elon Musk, the Tesla CEO and top ally of President Donald Trump, is casting doubt on the funding source for a massive artificial intelligence ",AI,,,True,AI,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-5,"Trans health, research programs ordered to stop by Trump administration
The Trump administration is moving forward with its campaign to eradicate federal funding intended to improve the lives and heal",Transgender policy,,,True,Transgender policy,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-6,"N.Y. Mayor Eric Adams pushes for permanent dismissal of his corruption case
NEW YORK — Mayor Eric Adams’s attorney argued Wednesday that the case against him should be dismissed permanently, alleging ",Eric Adams case,,,True,Eric Adams case,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-7,"GOP lawmakers scramble to protect foreign aid as food relief languishes
As GOP lawmakers in Washington try to protect a key food aid program from the Trump administration’s cutbacks, international hum",Foreign aid,,,False,USAID,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-8,"DOGE rips through Education Department, cutting contracts, staff and grants
The notices popped into email boxes all over the country Monday afternoon, notifying researchers who collect, analyze and st",DOGE,,,False,Department of Education,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-9,"HHS in process of firing 5,200 workers, according to internal memo
In an extraordinary move, the Department of Health and Human Services is in the process of firing about 5,200 health workers, part of",Federal workforce reductions,,,True,Federal workforce reductions,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-10,"Trump plans to further restrict undocumented immigrants from public benefits
President Donald Trump plans to sign an executive order Wednesday evening aimed at restricting undocumented immigrants’ acc",Immigration policy,,,True,Immigration policy,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-11,"Trump administration seeking access to database of immigrant minors
The Trump administration is seeking to grant U.S. immigration officers access to a database that contains information on hundreds of",Immigration policy,,,True,Immigration policy,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-12,"Judge denies temporary ban on DOGE access to private data
A federal judge on Friday denied a request to temporarily ban employees working with the U.S. DOGE Service from accessing closely guarded syst",DOGE,,,True,DOGE,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-13,"President Donald Trump just signed executive orders declaring a “national energy emergency” and “unleashing” domestic fossil...
President Donald Trump just signed executive orders declaring a “nationa",Climate,,,True,Climate,2025-10-14T21:18:34.658037+00:00
claude-opus-4-0,prompt-1,test-14,"Judge adds one-week pause on Trump plan to put 2,100 USAID workers on leave
A federal judge on Thursday extended for seven days <a href=""https://www.washingtonpost.com/national-security/2025/02/07/fed",USAID,,,True,USAID,2025-10-14T21:18:34.658037+00:00
