id,input,target,response,score,input_tokens,output_tokens,duration_ms
1,"Noem: Guantánamo Bay on the table to house deportees
Homeland Security Secretary Kristi L. Noem sign...",Guantánamo Bay,Guantánamo Bay,1.0,511,6,1025
2,"Supreme Court delays decision on Trump’s firing of watchdog agency leader
A divided Supreme Court on...",Firing government watchdogs,Firing government watchdogs,1.0,425,6,1591
3,"Hegseth to visit Guantanamo Bay as migrant detention takes shape
Defense Secretary Pete Hegseth is e...",Guantánamo Bay,Guantánamo Bay,1.0,486,6,2700
4,"Musk throws cold water on funding for Trump AI initiative
Elon Musk, the Tesla CEO and top ally of P...",AI,AI,1.0,780,2,981
5,"Trans health, research programs ordered to stop by Trump administration
The Trump administration is ...",Transgender policy,Federal grant pause,0.0,430,4,2180
6,"N.Y. Mayor Eric Adams pushes for permanent dismissal of his corruption case
NEW YORK — Mayor Eric Ad...",Eric Adams case,Eric Adams case,1.0,591,4,1750
7,"GOP lawmakers scramble to protect foreign aid as food relief languishes
As GOP lawmakers in Washingt...",USAID,Foreign aid,0.0,2074,3,1050
8,"DOGE rips through Education Department, cutting contracts, staff and grants
The notices popped into ...",Department of Education,Department of Education,1.0,2868,4,1715
9,"HHS in process of firing 5,200 workers, according to internal memo
In an extraordinary move, the Dep...",Federal workforce reductions,Federal workforce reductions,1.0,662,4,1287
10,"Trump plans to further restrict undocumented immigrants from public benefits
President Donald Trump ...",Immigration policy,Immigration policy,1.0,516,4,1758
11,"Trump administration seeking access to database of immigrant minors
The Trump administration is seek...",Immigration policy,Immigration policy,1.0,371,4,933
12,"Judge denies temporary ban on DOGE access to private data
A federal judge on Friday denied a request...",DOGE,DOGE,1.0,1321,3,1034
13,President Donald Trump just signed executive orders declaring a “national energy emergency” and “unl...,Climate,Expanding executive power,0.0,346,5,1117
14,"Judge adds one-week pause on Trump plan to put 2,100 USAID workers on leave
A federal judge on Thurs...",USAID,USAID,1.0,2111,3,1849
15,"More than 40,000 workers said to accept deferred resignation offer
More than 40,000 people have acce...",Federal worker buyout,Federal worker buyout,1.0,478,5,915
16,"Trump set to pull funding from schools based on race, gender teaching
The White House is preparing t...",DEI in schools,DEI in schools,1.0,667,5,734
17,"Vaccine safety panel long criticized by RFK Jr. told to postpone meeting
The Trump administration ha...",Health care,Health agencies' communications pause,0.0,478,6,640
18,"Judge says Trump officials have not complied with order to restart foreign aid
A federal judge in D....",Foreign aid,Foreign aid,1.0,535,3,826
19,"Trump says he will fire Kennedy Center board members, appoint himself chairman
President Donald Trum...",Kennedy Center,Kennedy Center,1.0,411,4,1362
20,"Arab leaders scramble for alternative to Trump’s Gaza proposal
President Donald Trump’s plan to remo...",Gaza,Gaza,1.0,2098,3,1279
21,"Trump shuts off access to asylum, plans to send 10,000 troops to border
President <a href=""https://w...",U.S.-Mexico border,U.S.-Mexico border,1.0,437,6,1670
22,"Trump appoints loyalists to Kennedy Center board
President Donald Trump was officially elected chair...",Kennedy Center,Kennedy Center,1.0,616,4,1191
23,President Donald Trump signed an executive order Monday creating the “Department of Government Effic...,DOGE,Expanding executive power,0.0,375,5,1418
24,"HUD moves to cancel $1.1 billion in already-awarded housing upgrades
The Department of Housing and U...",Federal funding,Federal funding,1.0,594,3,947
25,"FAA targeting Verizon contract in favor of Musk’s Starlink, sources say
The Federal Aviation Adminis...",Other,Federal funding,0.0,1752,3,943
26,"Trump: Government will sell $5 million ‘gold card’ to wealthy immigrants
President Donald Trump said...",Immigration policy,Immigration policy,1.0,682,4,3454
27,"Trump says administration looking at sending criminals out of country
“Numerous countries” have offe...",Deportations,Deportations,1.0,476,4,1378
28,"Pentagon says ‘identity months’  like Black History Month are ‘dead’
Shortly after President Donald ...",DEI in the federal government,DEI in the federal government,1.0,537,7,2768
29,"U.S., Ukraine near deal to grant mineral rights to Washington
The Trump administration and the Ukrai...",War in Ukraine,War in Ukraine,1.0,376,4,923
30,"Trump to build mass detention camp for deportees at Guantánamo Bay
President <a href=""https://www.wa...",Guantánamo Bay,Guantánamo Bay,1.0,501,6,1622
31,"Federal judge blocks Trump from slashing NIH funding in 22 states that sued
A federal district judge...",NIH,NIH,1.0,456,3,920
32,"New Kennedy Center board elects Trump as chair. Rutter departs as president.
The Kennedy Center boar...",Kennedy Center,Kennedy Center,1.0,551,4,1003
33,"In new order, Trump administration places more USAID staff on leave
The Trump administration put sco...",USAID,USAID,1.0,693,3,738
34,"Dept. of Homeland Security wants IRS to help with immigration enforcement
Homeland Security Secretar...",Immigration policy,Immigration policy,1.0,390,4,764
35,"Trump administration orders Pentagon to plan for sweeping budget cuts
Defense Secretary Pete Hegseth...",Federal funding,Federal workforce reductions,0.0,459,4,945
36,"Trump threatens to cut U.S. aid to South Africa over land law
NAIROBI — President <a href=""https://w...",Foreign aid,Foreign aid,1.0,465,3,620
37,"Trump announces 25% tariffs on steel and aluminum, including for Canada and Mexico
President Donald ...",Tariffs,Tariffs,1.0,486,3,1490
38,"Trump moves to narrow independence of Fed, along with other Wall Street overseers
The Trump administ...",Expanding executive power,Expanding executive power,1.0,1809,5,1973
39,"Trump, Modi aim to cut U.S. trade gap with India amid global tariff concerns
The United States and I...",Tariffs,Foreign policy,0.0,2411,3,1555
40,"CFPB prepares to end lease on headquarters building, ahead of expected cuts
The Trump administration...",CFPB,Federal office space,0.0,455,4,1178
41,"Justice Dept. hires for court battles as Trump slashes other agencies
The Justice Department is recr...",Other,Immigration policy,0.0,1623,4,1669
42,"Trump says he ordered Treasury Department to stop producing new pennies
President <a href=""https://w...",Other,Other,1.0,446,2,1233
